 Total Nb of available Diagnostics: ndiagt=   191
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   162 |Vm_Diss |120 |   161 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   163 |Um_Advec|120 |   164 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   164 |Vm_Advec|120 |   163 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   165 |Um_Cori |120 |   166 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   166 |Vm_Cori |120 |   165 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   167 |Um_dPHdx|120 |   168 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   168 |Vm_dPHdy|120 |   167 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   169 |Um_Ext  |120 |   170 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   170 |Vm_Ext  |120 |   169 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   171 |Um_AdvZ3|120 |   172 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   172 |Vm_AdvZ3|120 |   171 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   173 |Um_AdvRe|120 |   174 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   174 |Vm_AdvRe|120 |   173 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   175 |Wm_Diss |120 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   176 |Wm_Advec|120 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   177 |WSidDrag|120 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   178 |ADVx_Um |120 |   179 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   179 |ADVy_Um |120 |   178 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   180 |ADVrE_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   181 |ADVx_Vm |120 |   182 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   182 |ADVy_Vm |120 |   181 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   183 |ADVrE_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   184 |VISCx_Um|120 |   185 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   185 |VISCy_Um|120 |   184 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   186 |VISrE_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   187 |VISrI_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   188 |VISCx_Vm|120 |   189 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   189 |VISCy_Vm|120 |   188 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   190 |VISrE_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   191 |VISrI_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
